OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
419,Bryce Canyon National Park,C,426,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1258,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,393,393,72,194,127,0,0,35.2,35.2,6.5,17.4,11.3,0,0,161.4,161.4,0,0,17995.18051,8189928.939
420,Turn About Ranch,C,2454,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Indview&SYSTEM_ID=11460,Utah,Garfield,West Colorado River,8/4/2002,Escalante River,65,62,62,0,0,0,3,2.2,2.1,2.1,0,0,0,0.1,28,28,0,0,1267.704822,51833.3473
421,Deseret Feedlot,C,1333,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11338,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,204,204,171,33,0,0,0,11,11,9.2,1.8,0,0,0,0,0,0,0,10351.09874,2204249.387
422,Deseret Land and Livestock,C,2529,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11281,Utah,Rich,Bear River,1/3/2002,Randolph,25,25,23,0,2,0,0,0.6,0.6,0.5,0,0,0,0,39.7,39.7,0,0,3287.464042,514650.112
423,Pack Creek Water Co.,C,958,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11310,Utah,San Juan,Southeast Colorado River,9/1/2004,Moab,155,101,101,0,0,0,54,13.1,8.5,8.5,0,0,0,4.6,22.2,22.2,0,0,5231.034526,1226363.702
424,Lake Rockport Estates,C,1156,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11055,Utah,Summit,Weber River,2/1/2002,Kamas Valley,81,81,81,0,0,0,0,13.7,13.7,13.7,0,0,0,0,48.4,48.4,0,0,10439.38424,3114175.527
425,Weber Basin Job Corps,C,268,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1291,Utah,Davis,Weber River,2/1/2009,East Shore,534,534,0,0,534,0,0,101.6,101.6,0,0,101.6,0,0,0,0,0,0,6168.851371,1630304.059
426,North Village S.S.D.,C,2511,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11078,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,42,37,36,1,0,0,5,58.7,51.3,50.1,1,0.3,0,7.4,0,0,0,0,20444.24622,15342235.02
427,Hideout Town Water System,C,2520,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11284,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,254,254,112,0,141,0,0,120.7,120.7,53.5,0,67.2,0,0,0,0,0,0,18414.9955,10177519.92
428,Billy Bethers Water Supply,C,2512,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11273,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,646,81,80,1,0,0,565,28.9,3.6,3.6,0,0,0,25.3,38.4,0,38.4,0,6976.598559,987234.7661
