OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
53,Cedar Highlands Subdivision,C,537,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1429,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,45,45,45,0,0,0,0,0,0,0,0,8.26,8.26,8.26,0,0,0,0,0,0,0,0,95.23,56.49,38.74,0,5497.93433716556,1786382.91316541
54,Spring Creek Water Users,C,547,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1454,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,153,153,153,0,0,0,0,0,0,0,0,44.63,44.63,44.63,0,0,0,0,0,0,0,0,111,111,0,0,5067.05761814773,1033042.86779463
55,Hatch Town Water System,C,392,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1237,Utah,Garfield,Sevier River,05-06-01,Navajo Lake,660,203,164,39,0,0,457,457,0,0,0,110.97,34.15,27.54,6.61,0,0,76.81,76.81,0,0,0,144.8,144.8,0,0,14502.512044221,7705183.41891215
56,Cross Hollow Hills Subdivision,C,550,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=10914,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,144,144,144,0,0,0,0,0,0,0,0,48.27,48.27,48.27,0,0,0,0,0,0,0,0,111.37,111.37,0,0,10503.4904843899,6475983.35297552
57,Ticaboo Utility Improvement District,C,404,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1178,Utah,Garfield,West Colorado River,09-03-02,Lake Powell,740,740,281,442,17,0,0,0,0,0,0,29.03,29.03,11,17.35,0.68,0,0,0,0,0,0,158.99,158.99,0,0,6696.39248550116,2804190.25923614
58,Meadows Ranch,C,540,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1428,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,165,165,165,0,0,0,0,0,0,0,0,111,111,111,0,0,0,0,0,0,0,0,236,236,0,0,20501.8872573403,10926361.4154158
59,Newcastle Water Co.,C,513,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1325,Utah,Iron,Cedar/Beaver,06-03-01,Escalante Desert,655,463,264,168,19,12,192,192,0,0,0,190.71,134.89,76.93,48.91,5.49,3.56,55.82,55.82,0,0,0,158.7,158.7,0,0,10291.1252169567,1983442.3386153
60,Buena Vista Community,C,548,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1451,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,227,227,227,0,0,0,0,0,0,0,0,119.51,119.51,119.51,0,0,0,0,0,0,0,0,135,135,0,0,3263.59175496332,619217.504361589
61,Monte Vista Community Water Co.,C,532,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1012,Utah,Iron,Cedar/Beaver,06-02-02,Cedar,270,270,270,0,0,0,0,0,0,0,0,45.29,45.29,45.29,0,0,0,0,0,0,0,0,83.17,83.17,0,0,3148.17445346476,548603.54742903
62,Brian Head Town Water System,C,504,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1137,Utah,Iron,Cedar/Beaver,06-02-01,Parowan,2117,2117,706,1411,0,0,0,0,0,0,0,237.13,237.13,79.12,158.01,0,0,0,0,0,0,0,927.17,791.58,135.59,0,24519.0093324302,12517673.0375255
