OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
88,Day Star Adventist Academy,C,481,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11388,Utah,Grand,Southeast Colorado River,9/1/2003,Colorado River/Castle Valley,119,119,119,0,0,0,0,5.2,5.2,5.2,0,0,0,0,24.2,24.2,0,0,2019,Upper Colorado River,3605.430525,221299.0828
89,Austin SSD,C,1026,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1225,Utah,Sevier,Sevier River,5/4/2002,Richfield,187,187,143,19,0,26,0,25.2,25.2,19.2,2.5,0,3.4,0,116.4,43.7,72.6,0,2019,Sevier River,15039.20292,721448.8609
90,Elsinore Town Water System,C,1030,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1089,Utah,Sevier,Sevier River,5/4/2002,Richfield,214,189,157,4,22,7,24,257.1,228,188.5,5.3,26.2,8,29.1,683.2,553.5,129.7,0,2019,Sevier River,13680.11314,4187284.43
91,Central Valley Town,C,1029,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1290,Utah,Sevier,Sevier River,5/4/2002,Richfield,286,274,255,0,11,8,12,198.5,190.1,176.9,0,7.8,5.4,8.4,294.9,157.7,137.2,0,2019,Sevier River,18292.218,6993313.854
92,Annabella Town Water System,C,1024,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1063,Utah,Sevier,Sevier River,5/4/2002,Richfield,483,116,107,0,0,9,368,463,110.7,102.3,0,0.1,8.3,352.3,782.2,428.7,353.5,0,2019,Sevier River,13350.0682,2101483.416
93,Glenwood Town Water System,C,1031,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1183,Utah,Sevier,Sevier River,5/4/2002,Richfield,334,107,99,1,8,0,226,175.6,56.4,52,0.4,4,0,119.2,181.1,0,181.1,0,2019,Sevier River,4784.652194,1345838.575
94,Richfield City,C,1036,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1130,Utah,Sevier,Sevier River,5/4/2002,Richfield,356,223,149,42,32,0,133,3342.6,2095.1,1398.6,391.8,304.7,0,1247.5,2607.3,1158.4,1448.9,0,2019,Sevier River,30925.13949,16290658.23
95,Kanosh Town Water System,C,661,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1154,Utah,Millard,Sevier River,5/7/2000,Fillmore,1297,303,289,9,3,2,995,748.5,174.6,166.8,5.2,1.5,1.1,573.9,564.9,0,564.9,0,2019,Sevier River,8983.325919,2084929.461
96,Sigurd Town Water System,C,1038,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1056,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,138,138,89,1,24,24,0,66.1,66.1,42.7,0.3,11.4,11.7,0,464.9,201.8,263.1,0,2019,Sevier River,22158.90303,3110142.728
97,Meadow Town Water System,C,664,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1094,Utah,Millard,Sevier River,5/7/2000,Fillmore,359,359,324,9,8,18,0,138.8,138.8,125.1,3.4,3.2,7.1,0,564.2,161.4,402.8,0,2019,Sevier River,15871.90015,1525585.152
98,Castle Valley SSD - Emery,C,354,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1388,Utah,Emery,West Colorado River,8/3/2003,Emery,169,169,145,18,0,6,0,58.6,58.6,50.4,6.3,0,2,0,564.9,0,0,564.9,2019,Upper Colorado River,12848.98305,3203608.092
